"consumos_entre_el_1_y_el","consumos_entre_el_16_y_el","total","mes","a_o"
"360","5916","6276","Enero","2019"
"3306","4749","8055","Febrero","2019"
"440","6087","6527","Marzo","2019"
"3602","4543","8145","Abril","2019"
"2684","5976","8660","Mayo","2019"
"2640","6246","8886","Junio","2019"
"440","7641","8081","Julio","2019"
"2880","5947","8827","Agosto","2019"
"520","8947","9467","Septiembre","2019"
"1206","10557","11763","Octubre","2019"
"4644","8543","13187","Noviembre","2019"
"6233","13327","19559","Diciembre","2019"
"3952","11967","15919","Enero","2020"
"6280","8495","14775","Febrero","2020"
"5173","8702","13875","Marzo","2020"
"2500","5290","7790","Abril","2020"
"3350","6913","10263","Mayo","2020"
"1280","151050","152330","Junio","2020"
"-142165","6078","-136087","Julio","2020"
"1540","6290","7830","Agosto","2020"
"2460","213663","216123","Septiembre","2020"
"-203350","7825","-195525","Octubre","2020"
"2163","11761","13924","Noviembre","2020"
"5862","30642","36504","Diciembre","2020"
"11473","16679","28152","Enero","2021"
"5230","7607","12837","Febrero","2021"
"2990","8730","11720","Marzo","2021"
"4950","5577","10527","Abril","2021"
"2775","6780","9555","Mayo","2021"
"4260","6981","11241","Junio","2021"
"5760","7119","12879","Julio","2021"
"1320","250","1570","Agosto","2021"
"3610","8624","12234","Septiembre","2021"
"1520","710","2230","Octubre","2021"
"3160","8878","12038","Noviembre","2021"
"5097","9875","14972","Diciembre","2021"
"5620","8396","14016","Enero","2022"
"1000","465","1465","Febrero","2022"
"4360","11299","15659","Marzo","2022"
"6453","11434","17887","Abril","2022"
"6927","12196","19122","Mayo","2022"
"7010","9956","16966","Junio","2022"
"10215","12390","22605","Julio","2022"
"8080","13041","21121","Agosto","2022"
"8310","12568","20878","Septiembre","2022"
"8410","14537","22947","Octubre","2022"
"6940","13340","20280","Noviembre","2022"
"7790","14952","22742","Diciembre","2022"
"10845","13495","24339","Enero","2023"
"10858","15705","26564","Febrero","2023"
"10017","14153","24170","Marzo","2023"
"8760","16459","25219","Abril","2023"
"14883","16744","31626","Mayo","2023"
"10757","17602","28359","Junio","2023"
"11280","15708","26988","Julio","2023"
"10279","18613","28892","Agosto","2023"
"14633","12589","27222","Septiembre","2023"
"12223","16597","28820","Octubre","2023"
"12578","14865","27443","Noviembre","2023"
"24638","42925","67563","Diciembre","2023"
"14120","15054","29174","Enero","2024"
"11000","19229","30229","Febrero","2024"
"11960","13270","25230","Marzo","2024"
"11260","13131","24391","Abril","2024"
"9910","17941","27851","Mayo","2024"
"11290","16741","28031","Junio","2024"
"21575","47609","69184","Julio","2024"
"33830","51243","85073","Agosto","2024"
"14.380","47.993","62.373","Marzo","2025"
"25.426","34.330","59.756","Abril","2025"
"16.780","50.831","67.611","Mayo","2025"
"12.820","52.467","65.287","Junio","2025"
"29327","49465","78791","Septiembre","2024"
"23720","44781","68501","Octubre","2024"
"14203","31761","45964","Noviembre","2024"
"106700","42505","149205","Diciembre","2024"
"3484","0","3484","Enero","2025"
"14020","43253","57273","Febrero","2025"
