group,zone_id,municipality,access_screen,nearest_charger_min,nearest_charger_km,slope_mean_pct,disadvantage_screen
Lowest access,5,None,0.0,43.353234562541594,20.23150946251941,,0.006222941088109716
Lowest access,9,None,0.00656684363380261,33.07133567551046,15.433289981904881,,0.006182076007041733
Lowest access,418,None,0.007418782320239485,46.62546899073239,21.75855219567511,,0.006176774442785355
Lowest access,161,Girardota,0.04033818442358993,17.998330834054467,8.399221055892085,,0.2723796603280876
Lowest access,160,Girardota,0.04065004760055752,18.350953805489834,8.563778442561922,13.761441071669356,0.2549761082663398
Highest access,317,Medellín,1.0,1.235941142605744,0.576772533216014,2.2935735119448926,0.0
Highest access,315,Medellín,0.9984656615538373,1.4606517668803352,0.6816374912108231,3.6199667809305662,0.001063761106595217
Highest access,308,Medellín,0.9983608577568783,0.9118620856328199,0.4255356399619826,19.535898126313224,0.0011334016582639364
Highest access,313,Medellín,0.9981902899650154,1.6476692802496498,0.7689123307831699,2.2935735119448926,0.0012539236946309644
Highest access,301,Medellín,0.9943306921013138,0.5160679422355171,0.24083170637657467,3.2339202299676635,0.003893569538181946
